FirstPurchaseMonth,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11
2010-12-01,948,362,317,367,341,376,360,336,336,374,354,474
2011-01-01,421,101,119,102,138,126,110,108,131,146,155,63
2011-02-01,380,94,73,106,102,94,97,107,98,119,35,0
2011-03-01,440,84,112,96,102,78,116,105,127,39,0,0
2011-04-01,299,68,66,63,62,71,69,78,25,0,0,0
2011-05-01,279,66,48,48,60,68,74,29,0,0,0,0
2011-06-01,235,49,44,64,58,79,24,0,0,0,0,0
2011-07-01,191,40,39,44,52,22,0,0,0,0,0,0
2011-08-01,167,42,42,42,23,0,0,0,0,0,0,0
2011-09-01,298,89,97,36,0,0,0,0,0,0,0,0
2011-10-01,352,93,46,0,0,0,0,0,0,0,0,0
2011-11-01,321,43,0,0,0,0,0,0,0,0,0,0
2011-12-01,41,0,0,0,0,0,0,0,0,0,0,0
