Cohort,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11
2010-12-01,66819,25595,25505,32794,24509,33942,34833,24244,22871,40953,55315,53170
2011-01-01,18911,4214,5733,4793,8181,5998,5240,5611,6779,7445,12044,3417
2011-02-01,17831,3788,6407,6048,2141,3263,4255,5126,6673,7472,2033,0
2011-03-01,14892,3900,6661,4622,3046,3109,6379,7161,9163,2284,0,0
2011-04-01,9695,3012,2943,2041,2101,1754,2185,3608,460,0,0,0
2011-05-01,12778,2901,2839,2620,2132,2484,3032,920,0,0,0,0
2011-06-01,9320,2583,1182,2225,3465,6772,650,0,0,0,0,0
2011-07-01,-657,1142,1160,942,1938,559,0,0,0,0,0,0
2011-08-01,4950,62,-783,-2118,-707,0,0,0,0,0,0,0
2011-09-01,11905,2244,3150,1008,0,0,0,0,0,0,0,0
2011-10-01,9761,3797,2230,0,0,0,0,0,0,0,0,0
2011-11-01,13651,3190,0,0,0,0,0,0,0,0,0,0
2011-12-01,10046,0,0,0,0,0,0,0,0,0,0,0
